Task A4 : The Year with The Lowest Temperature for FRANCE
Temperature,Year,Month,Country,Country_Code
0.88(C) 33.58(F), 2012, Feb, France, FRA
Task A4 : The Year with The Highest Temperature for FRANCE
Temperature,Year,Month,Country,Country_Code
22.69(C) 72.84(F), 2006, Jul, France, FRA
