Task A2 : Lowest Temperature for SOUTH SUDAN in 2011
Temperature,Year,Month,Country,Country_Code
25.78(C) 78.41(F), 2011, Aug, South Sudan, SSD
Task A2 : Highest Temperature for UNITED STATES in 2002
Temperature,Year,Month,Country,Country_Code
20.96(C) 69.72(F), 2002, Jul, United States, USA
